,CJPL,Kamioka,LNGS,SURF,SNOlab
76,"(33.0, 37.0, 3.512, 3.539, 1, 1)","(29.0, 33.0, 3.728, 3.755, 1, 1)","(29.0, 33.0, 3.512, 3.539, 1, 1)","(29.0, 33.0, 3.377, 3.404, 1, 1)","(25.0, 29.0, 3.809, 3.836, 1, 1)"
77,"(33.0, 37.0, 3.539, 3.566, 1, 1)","(29.0, 33.0, 3.755, 3.782, 1, 1)","(29.0, 33.0, 3.539, 3.566, 1, 1)","(29.0, 33.0, 3.404, 3.431, 1, 1)","(25.0, 29.0, 3.836, 3.863, 1, 1)"
78,"(33.0, 37.0, 3.566, 3.593, 1, 1)","(29.0, 33.0, 3.782, 3.809, 1, 1)","(29.0, 33.0, 3.566, 3.593, 1, 1)","(29.0, 33.0, 3.431, 3.458, 1, 1)","(29.0, 33.0, 3.377, 3.404, 1, 1)"
79,"(33.0, 37.0, 3.593, 3.62, 1, 1)","(29.0, 33.0, 3.809, 3.836, 1, 1)","(29.0, 33.0, 3.593, 3.62, 1, 1)","(29.0, 33.0, 3.458, 3.485, 1, 1)","(29.0, 33.0, 3.404, 3.431, 1, 1)"
80,"(33.0, 37.0, 3.62, 3.647, 1, 1)","(33.0, 37.0, 3.431, 3.458, 1, 1)","(29.0, 33.0, 3.62, 3.647, 1, 1)","(29.0, 33.0, 3.485, 3.512, 1, 1)","(29.0, 33.0, 3.431, 3.458, 1, 1)"
81,"(33.0, 37.0, 3.647, 3.674, 1, 1)","(33.0, 37.0, 3.458, 3.485, 1, 1)","(29.0, 33.0, 3.647, 3.674, 1, 1)","(29.0, 33.0, 3.512, 3.539, 1, 1)","(29.0, 33.0, 3.458, 3.485, 1, 1)"
82,"(33.0, 37.0, 3.674, 3.701, 1, 1)","(33.0, 37.0, 3.485, 3.512, 1, 1)","(29.0, 33.0, 3.674, 3.701, 1, 1)","(29.0, 33.0, 3.539, 3.566, 1, 1)","(29.0, 33.0, 3.485, 3.512, 1, 1)"
83,"(33.0, 37.0, 3.701, 3.728, 1, 1)","(33.0, 37.0, 3.512, 3.539, 1, 1)","(29.0, 33.0, 3.701, 3.728, 1, 1)","(29.0, 33.0, 3.566, 3.593, 1, 1)","(29.0, 33.0, 3.512, 3.539, 1, 1)"
84,"(33.0, 37.0, 3.728, 3.755, 1, 1)","(33.0, 37.0, 3.539, 3.566, 1, 1)","(29.0, 33.0, 3.728, 3.755, 1, 1)","(29.0, 33.0, 3.593, 3.62, 1, 1)","(29.0, 33.0, 3.539, 3.566, 1, 1)"
85,"(33.0, 37.0, 3.755, 3.782, 1, 1)","(33.0, 37.0, 3.566, 3.593, 1, 1)","(29.0, 33.0, 3.755, 3.782, 1, 1)","(29.0, 33.0, 3.62, 3.647, 1, 1)","(29.0, 33.0, 3.566, 3.593, 1, 1)"
86,"(33.0, 37.0, 3.782, 3.809, 1, 1)","(33.0, 37.0, 3.593, 3.62, 1, 1)","(29.0, 33.0, 3.782, 3.809, 1, 1)","(29.0, 33.0, 3.647, 3.674, 1, 1)","(29.0, 33.0, 3.593, 3.62, 1, 1)"
87,"(33.0, 37.0, 3.809, 3.836, 1, 1)","(33.0, 37.0, 3.62, 3.647, 1, 1)","(29.0, 33.0, 3.809, 3.836, 1, 1)","(29.0, 33.0, 3.674, 3.701, 1, 1)","(29.0, 33.0, 3.62, 3.647, 1, 1)"
